AN	CLUSTER	MORPH_TYPE	EXPONENT	BASE_POS	BASE_SEM
"NC:abatteur"	2	affixed	eur	v	action
"NC:aboyeur"	5	affixed	eur	v	action
"NC:abuseur"	4	affixed	eur	v	action
"NC:accessoiriste"	2	affixed	iste	n	object
"NC:accompagnateur"	6	affixed	eur	v	action
"NC:accordéoniste"	3	affixed	iste	n	domain
"NC:accoucheur"	4	affixed	eur	v	action
"NC:accusateur"	4	affixed	eur	v	action
"NC:acheteur"	1	affixed	eur	v	action
"NC:acquéreur"	1	affixed	eur	v	action
"NC:administrateur"	1	affixed	eur	v	action
"NC:aérostier"	3	affixed	ier	n	object
"NC:affairiste"	1	affixed	iste	n	action
"NC:afficheur"	6	affixed	eur	v	action
"NC:affichiste"	3	affixed	iste	n	objCog
"NC:affréteur"	2	affixed	eur	v	action
"NC:agioteur"	4	affixed	eur	v	action
"NC:agonisant"	4	conversion	ant	v	action
"NC:agresseur"	4	affixed	eur	v	action
"NC:aiguilleur"	6	affixed	eur	v	action
"NC:ailier"	6	affixed	ier	n	object
"NC:ajusteur"	2	affixed	eur	v	action
"NC:alchimiste"	4	affixed	iste	n	domain
"NC:algébriste"	3	affixed	iste	n	domain
"NC:aliéniste"	3	affixed	iste	n	object
"NC:allumeuse"	5	affixed	eur	v	action
"NC:alpiniste"	3	affixed	iste	n	object
"NC:ambassadeur"	3	affixed	eur	n	action
"NC:ambulancier"	6	affixed	ier	n	object
"NC:amuseur"	4	affixed	eur	v	action
"NC:anatomiste"	3	affixed	iste	n	domain
"NC:anecdotier"	3	affixed	ier	n	objCog
"NC:anesthésiste"	3	affixed	iste	n	action
"NC:ânier"	5	affixed	ier	n	object
"NC:animalier"	3	affixed	ier	n	object
"NC:animateur"	3	affixed	eur	v	action
"NC:annonceur"	1	affixed	eur	v	action
"NC:annonciateur"	4	affixed	eur	v	action
"NC:anthropologiste"	3	affixed	iste	n	domain
"NC:antiquaire"	2	affixed	aire	n	object
"NC:aoûtien"	5	affixed	ien	n	property
"NC:apologiste"	3	affixed	iste	n	action
"NC:appelant"	4	conversion	ant	v	action
"NC:appeleur"	5	affixed	eur	v	action
"NC:apprenant"	1	conversion	ant	v	action
"NC:aquarelliste"	3	affixed	iste	n	domain
"NC:archer"	6	affixed	ier	n	object
"NC:architecteur"	3	affixed	eur	n	object
"NC:archiviste"	3	affixed	iste	n	object
"NC:argumentateur"	5	affixed	eur	v	action
"NC:armateur"	2	affixed	eur	v	action
"NC:armurier"	2	affixed	ier	n	object
"NC:arnaqueur"	4	affixed	eur	v	action
"NC:arnaqueuse"	5	affixed	eur	v	action
"NC:arpenteur"	3	affixed	eur	v	action
"NC:arrangeur"	3	affixed	eur	v	action
"NC:arrivant"	1	conversion	ant	v	action
"NC:arriviste"	4	affixed	iste	v	action
"NC:artificier"	6	affixed	ier	n	object
"NC:artiste"	3	affixed	iste	n	domain
"NC:assaillant"	1	conversion	ant	v	action
"NC:assiégeant"	1	conversion	ant	v	action
"NC:assistant"	3	conversion	ant	v	action
"NC:assommeur"	5	affixed	eur	v	action
"NC:assureur"	1	affixed	eur	v	action
"NC:astrophysicien"	3	affixed	ien	n	domain
"NC:astrophysicienne"	3	affixed	ien	n	domain
"NC:attaquant"	6	conversion	ant	v	action
"NC:attentiste"	6	affixed	iste	n	action
"NC:attrapeur"	6	affixed	eur	v	action
"NC:aubergiste"	2	affixed	iste	n	object
"NC:auto-stoppeur"	4	affixed	eur	n	domain
"NC:automobiliste"	1	affixed	iste	n	object
"NC:autostoppeur"	4	affixed	eur	n	domain
"NC:autostoppeuse"	5	affixed	eur	n	domain
"NC:avaleur"	5	affixed	eur	v	action
"NC:avaleuse"	5	affixed	eur	v	action
"NC:aventurier"	4	affixed	ier	n	action
"NC:avionneur"	1	affixed	eur	n	object
"NC:avorteur"	4	affixed	eur	v	action
"NC:avorteuse"	2	affixed	eur	v	action
"NC:bactériologiste"	3	affixed	iste	n	domain
"NC:badigeonneur"	5	affixed	eur	v	action
"NC:bagagiste"	2	affixed	iste	n	object
"NC:bagarreur"	6	affixed	eur	v	action
"NC:baigneur"	2	affixed	eur	v	action
"NC:baiseur"	5	affixed	eur	v	action
"NC:balayeur"	2	affixed	eur	v	action
"NC:balayeuse"	2	affixed	eur	v	action
"NC:bandagiste"	2	affixed	iste	n	object
"NC:banquier"	2	affixed	ier	n	domain
"NC:banquière"	2	affixed	ier	n	domain
"NC:baratineur"	5	affixed	eur	v	action
"NC:barbier"	2	affixed	ier	n	object
"NC:barbouilleur"	4	affixed	eur	v	action
"NC:baroudeur"	6	affixed	eur	v	action
"NC:baroudeuse"	5	affixed	eur	v	action
"NC:barreur"	6	affixed	eur	v	action
"NC:basketteur"	3	affixed	eur	n	domain
"NC:bassiste"	3	affixed	iste	n	domain
"NC:batailleur"	4	affixed	eur	v	action
"NC:bateleur"	4	affixed	eur	v	action
"NC:batelier"	2	affixed	ier	n	object
"NC:bâtisseur"	4	affixed	eur	v	action
"NC:bâtonnier"	3	affixed	ier	n	object
"NC:bêcheur"	5	affixed	eur	v	action
"NC:bibliothécaire"	3	affixed	aire	n	object
"NC:bienfaiteur"	1	affixed	eur	n	action
"NC:bijoutier"	2	affixed	ier	n	object
"NC:biochimiste"	3	affixed	iste	n	domain
"NC:biologiste"	3	affixed	iste	n	domain
"NC:bistrotier"	5	affixed	ier	n	object
"NC:bistrotière"	5	affixed	ier	n	object
"NC:blagueur"	4	affixed	eur	v	action
"NC:blanchisseur"	2	affixed	eur	v	action
"NC:blasphémateur"	4	affixed	eur	v	action
"NC:bluffeur"	5	affixed	eur	v	action
"NC:boiseur"	2	affixed	eur	v	action
"NC:boisselier"	2	affixed	ier	n	object
"NC:bonimenteur"	4	affixed	eur	v	action
"NC:bosseur"	4	affixed	eur	v	action
"NC:botaniste"	3	affixed	iste	n	domain
"NC:botteur"	6	affixed	eur	v	action
"NC:bottier"	2	affixed	ier	n	object
"NC:boucholeur"	5	affixed	eur	n	object
"NC:boudeur"	4	affixed	eur	v	action
"NC:boudeuse"	5	affixed	eur	v	action
"NC:bouffeur"	5	affixed	eur	v	action
"NC:bouilleur"	2	affixed	eur	v	action
"NC:bouquetière"	5	affixed	ier	n	object
"NC:bouquineur"	5	affixed	eur	v	action
"NC:bouquiniste"	2	affixed	iste	n	objCog
"NC:bourlingueur"	5	affixed	eur	v	action
"NC:boursicoteur"	4	affixed	eur	v	action
"NC:bousier"	4	affixed	ier	n	object
"NC:boutiquier"	2	affixed	ier	n	object
"NC:boxeur"	6	affixed	eur	v	action
"NC:boxeuse"	3	affixed	eur	v	action
"NC:braconnier"	4	affixed	ier	v	action
"NC:brailleur"	5	affixed	eur	v	action
"NC:brancardier"	6	affixed	ier	n	object
"NC:branleur"	5	affixed	eur	v	action
"NC:braqueur"	2	affixed	eur	v	action
"NC:braqueuse"	5	affixed	eur	v	action
"NC:brasseur"	2	affixed	eur	v	action
"NC:bricoleur"	2	affixed	eur	v	action
"NC:briquetier"	2	affixed	ier	n	object
"NC:briseur"	4	affixed	eur	v	action
"NC:briseuse"	5	affixed	eur	v	action
"NC:brocanteur"	2	affixed	eur	v	action
"NC:bronzier"	2	affixed	ier	n	object
"NC:brossier"	2	affixed	ier	n	object
"NC:bruiteur"	3	affixed	eur	v	action
"NC:bûcheur"	4	affixed	eur	v	action
"NC:buteur"	6	affixed	eur	v	action
"NC:buveur"	4	affixed	eur	v	action
"NC:buveuse"	5	affixed	eur	v	action
"NC:cabaretier"	2	affixed	ier	n	object
"NC:câbleur"	2	affixed	eur	v	action
"NC:cadreur"	6	affixed	eur	v	action
"NC:cafetier"	2	affixed	ier	n	object
"NC:cafteur"	5	affixed	eur	v	action
"NC:caissier"	2	affixed	ier	n	object
"NC:calomniateur"	4	affixed	eur	v	action
"NC:cambrioleur"	4	affixed	eur	v	action
"NC:campeur"	4	affixed	eur	v	action
"NC:cancanier"	5	affixed	ier	n	action
"NC:canonnier"	6	affixed	ier	n	object
"NC:cantinier"	2	affixed	ier	n	object
"NC:carabinier"	6	affixed	ier	n	object
"NC:caravanier"	1	affixed	ier	n	object
"NC:caravanière"	5	affixed	ier	n	object
"NC:cardeur"	2	affixed	eur	v	action
"NC:caricaturiste"	3	affixed	iste	n	objCog
"NC:carillonneur"	2	affixed	eur	v	action
"NC:carotteur"	5	affixed	eur	v	action
"NC:carreleur"	2	affixed	eur	v	action
"NC:cartomancien"	5	affixed	ien	n	domain
"NC:cascadeur"	6	affixed	eur	v	action
"NC:casseur"	4	affixed	eur	v	action
"NC:catalyseur"	1	affixed	eur	v	action
"NC:catcheur"	6	affixed	eur	v	action
