AN	CLUSTER	MORPH_TYPE	EXPONENT	BASE_POS	BASE_SEM
"NC:étouffeur"	5	affixed	eur	v	action
"NC:étrangleur"	5	affixed	eur	v	action
"NC:étudiant"	1	conversion	ant	v	action
"NC:étymologiste"	3	affixed	iste	n	domain
"NC:évaluateur"	1	affixed	eur	v	action
"NC:évangélisateur"	4	affixed	eur	v	action
"NC:éveilleur"	4	affixed	eur	v	action
"NC:éventreur"	4	affixed	eur	v	action
"NC:examinateur"	6	affixed	eur	v	action
"NC:excursionniste"	1	affixed	iste	n	action
"NC:exécutant"	1	conversion	ant	v	action
"NC:exécuteur"	4	affixed	eur	v	action
"NC:exhibitionniste"	4	affixed	iste	n	action
"NC:exorciste"	4	affixed	iste	v	action
"NC:expéditeur"	1	affixed	eur	v	action
"NC:expéditionnaire"	6	affixed	aire	n	action
"NC:expérimentateur"	3	affixed	eur	v	action
"NC:exploitant"	1	conversion	ant	v	action
"NC:exploiteur"	4	affixed	eur	v	action
"NC:explorateur"	3	affixed	eur	v	action
"NC:exploratrice"	3	affixed	eur	v	action
"NC:exportateur"	1	affixed	eur	v	action
"NC:exterminateur"	4	affixed	eur	v	action
"NC:fabricant"	2	conversion	ant	v	action
"NC:fabricante"	5	conversion	ant	v	action
"NC:fabuliste"	3	affixed	iste	n	objCog
"NC:facilitateur"	1	affixed	eur	v	action
"NC:factionnaire"	6	affixed	aire	n	action
"NC:faïencier"	2	affixed	ier	n	object
"NC:faiseur"	4	affixed	eur	v	action
"NC:farceur"	4	affixed	eur	n	action
"NC:faucheur"	4	affixed	eur	v	action
"NC:fauconnier"	4	affixed	ier	n	object
"NC:faussaire"	4	affixed	aire	n	object
"NC:fécondateur"	5	affixed	eur	v	action
"NC:fédérateur"	3	affixed	eur	v	action
"NC:feinteur"	5	affixed	eur	v	action
"NC:fendeur"	2	affixed	eur	v	action
"NC:ferblantier"	2	affixed	ier	n	object
"NC:fermier"	1	affixed	ier	n	object
"NC:ferrailleur"	2	affixed	eur	v	action
"NC:féticheur"	4	affixed	eur	n	object
"NC:feuilletoniste"	3	affixed	iste	n	objCog
"NC:fileur"	2	affixed	eur	v	action
"NC:finaliste"	6	affixed	iste	n	action
"NC:fiscaliste"	3	affixed	iste	n	domain
"NC:flagellant"	4	conversion	ant	v	action
"NC:flagellateur"	6	affixed	eur	v	action
"NC:flagorneur"	4	affixed	eur	v	action
"NC:flâneur"	4	affixed	eur	v	action
"NC:flatteur"	4	affixed	eur	v	action
"NC:fleuriste"	2	affixed	iste	n	object
"NC:flibustier"	4	affixed	ier	n	action
"NC:flingueur"	5	affixed	eur	v	action
"NC:flûtiste"	3	affixed	iste	n	domain
"NC:folkloriste"	3	affixed	iste	n	domain
"NC:fonceur"	6	affixed	eur	v	action
"NC:fondateur"	3	affixed	eur	v	action
"NC:fondatrice"	3	affixed	eur	v	action
"NC:fondeur"	2	affixed	eur	v	action
"NC:fontainier"	2	affixed	ier	n	object
"NC:footballeur"	6	affixed	eur	n	domain
"NC:footballeuse"	3	affixed	eur	n	domain
"NC:forceur"	6	affixed	eur	v	action
"NC:forestier"	1	affixed	ier	n	object
"NC:foreur"	5	affixed	eur	v	action
"NC:forgeur"	4	affixed	eur	v	action
"NC:formateur"	6	affixed	eur	v	action
"NC:fornicateur"	4	affixed	eur	v	action
"NC:fossoyeur"	4	affixed	eur	v	action
"NC:fouetteur"	5	affixed	eur	v	action
"NC:fouilleur"	1	affixed	eur	v	action
"NC:fouineur"	4	affixed	eur	v	action
"NC:fouisseur"	5	affixed	eur	v	action
"NC:fouleur"	2	affixed	eur	v	action
"NC:fournier"	5	affixed	ier	n	object
"NC:fournisseur"	1	affixed	eur	v	action
"NC:fourreur"	2	affixed	eur	v	action
"NC:fouteur"	5	affixed	eur	v	action
"NC:fraiseur"	2	affixed	eur	v	action
"NC:franc-parleur"	4	affixed	eur	n	domain
"NC:frappeur"	6	affixed	eur	v	action
"NC:fraudeur"	4	affixed	eur	v	action
"NC:freestyleur"	5	affixed	eur	n	domain
"NC:fresquiste"	3	affixed	iste	n	object
"NC:frimeur"	5	affixed	eur	v	action
"NC:fripier"	2	affixed	ier	n	object
"NC:friturier"	5	affixed	ier	n	object
"NC:fugueur"	4	affixed	eur	v	action
"NC:fumeur"	2	affixed	eur	v	action
"NC:fumeuse"	5	affixed	eur	v	action
"NC:fuyant"	4	conversion	ant	v	action
"NC:gâcheur"	2	affixed	eur	v	action
"NC:gaffeur"	4	affixed	eur	v	action
"NC:gagnant"	1	conversion	ant	v	action
"NC:gagneur"	5	affixed	eur	v	action
"NC:galérien"	4	affixed	ien	n	object
"NC:galeriste"	3	affixed	iste	n	object
"NC:gantier"	2	affixed	ier	n	object
"NC:garagiste"	2	affixed	iste	n	object
"NC:gardeur"	5	affixed	eur	v	action
"NC:gargotier"	5	affixed	ier	n	object
"NC:généalogiste"	3	affixed	iste	n	domain
"NC:généraliste"	2	affixed	iste	n	domain
"NC:génériqueur"	5	affixed	eur	n	object
"NC:généticien"	3	affixed	ien	n	domain
"NC:généticienne"	3	affixed	ien	n	domain
"NC:gêneur"	4	affixed	eur	v	action
"NC:geôlier"	4	affixed	ier	n	object
"NC:gérant"	2	conversion	ant	v	action
"NC:germaniste"	3	affixed	iste	n	domain
"NC:gestionnaire"	1	affixed	aire	n	action
"NC:glandeur"	4	affixed	eur	v	action
"NC:glaneur"	4	affixed	eur	v	action
"NC:gobeur"	5	affixed	eur	v	action
"NC:godilleur"	6	affixed	eur	v	action
"NC:gondolier"	5	affixed	ier	n	object
"NC:goûteur"	2	affixed	eur	v	action
"NC:gouvernant"	1	conversion	ant	v	action
"NC:gouvernante"	2	conversion	ant	v	action
"NC:gouverneur"	1	affixed	eur	v	action
"NC:grainetier"	2	affixed	ier	n	object
"NC:grammairien"	3	affixed	ien	n	domain
"NC:graphiste"	3	affixed	iste	n	domain
"NC:gratteur"	5	affixed	eur	v	action
"NC:greffier"	2	affixed	ier	n	object
"NC:gréviste"	1	affixed	iste	n	action
"NC:gribouilleur"	5	affixed	eur	v	action
"NC:griffeur"	4	affixed	eur	v	action
"NC:grimpeur"	6	affixed	eur	v	action
"NC:grossiste"	2	affixed	iste	n	domain
"NC:grutier"	2	affixed	ier	n	object
"NC:guérisseur"	4	affixed	eur	v	action
"NC:guerrier"	4	affixed	ier	n	action
"NC:guerroyeur"	5	affixed	eur	v	action
"NC:guetteur"	4	affixed	eur	v	action
"NC:guichetier"	2	affixed	ier	n	object
"NC:guillotineur"	2	affixed	eur	v	action
"NC:guitariste"	3	affixed	iste	n	domain
"NC:habilleur"	2	affixed	eur	v	action
"NC:hâbleur"	4	affixed	eur	v	action
"NC:handballeur"	6	affixed	eur	n	domain
"NC:handballeuse"	3	affixed	eur	n	domain
"NC:handicapeur"	3	affixed	eur	v	action
"NC:harceleur"	4	affixed	eur	v	action
"NC:hardeur"	3	affixed	eur	n	domain
"NC:harmoniciste"	3	affixed	iste	n	domain
"NC:harpiste"	3	affixed	iste	n	domain
"NC:harponneur"	5	affixed	eur	v	action
"NC:helléniste"	3	affixed	iste	n	domain
"NC:herboriste"	2	affixed	iste	n	object
"NC:herpétologiste"	3	affixed	iste	n	domain
"NC:historien"	3	affixed	ien	n	domain
"NC:hockeyeur"	6	affixed	eur	n	domain
"NC:hockeyeuse"	3	affixed	eur	n	domain
"NC:horloger"	2	affixed	ier	n	object
"NC:hôtelier"	2	affixed	ier	n	object
"NC:houilleur"	2	affixed	eur	n	object
"NC:huîtrier"	5	affixed	ier	n	object
"NC:humoriste"	3	affixed	iste	n	domain
"NC:hurleur"	5	affixed	eur	v	action
"NC:hydraulicien"	3	affixed	ien	n	domain
"NC:hypnotiseur"	4	affixed	eur	v	action
"NC:ichtyologiste"	3	affixed	iste	n	domain
"NC:illusionniste"	3	affixed	iste	n	action
"NC:illustrateur"	3	affixed	eur	v	action
"NC:îlotier"	5	affixed	ier	n	object
"NC:imitateur"	3	affixed	eur	v	action
"NC:immigrant"	1	conversion	ant	v	action
"NC:immunologiste"	3	affixed	iste	n	domain
"NC:importateur"	1	affixed	eur	v	action
"NC:improvisateur"	3	affixed	eur	v	action
"NC:incendiaire"	4	affixed	aire	n	action
"NC:incitateur"	4	affixed	eur	v	action
"NC:indienneur"	2	affixed	eur	n	object
"NC:infirmier"	2	affixed	ier	n	object
"NC:informateur"	1	affixed	eur	v	action
"NC:informaticien"	3	affixed	ien	n	domain
"NC:initiateur"	3	affixed	eur	v	action
"NC:innovateur"	3	affixed	eur	v	action
"NC:inquiéteur"	5	affixed	eur	v	action
"NC:inspecteur"	2	affixed	eur	v	action
"NC:installateur"	2	affixed	eur	v	action
"NC:installeur"	6	affixed	eur	v	action
"NC:instauratrice"	4	affixed	eur	v	action
"NC:instructeur"	6	affixed	eur	v	action
"NC:instrumentiste"	6	affixed	iste	n	object
"NC:insulteur"	4	affixed	eur	v	action
"NC:intercepteur"	6	affixed	eur	v	action
"NC:intercesseur"	4	affixed	eur	v	action
"NC:intérimaire"	6	affixed	aire	n	action
"NC:interniste"	3	affixed	iste	n	domain
"NC:interpolateur"	5	affixed	eur	v	action
"NC:interrogateur"	4	affixed	eur	v	action
"NC:intervenant"	1	conversion	ant	v	action
"NC:intervieweur"	3	affixed	eur	v	action
"NC:inventeur"	3	affixed	eur	v	action
"NC:investigateur"	1	affixed	eur	v	action
"NC:investigatrice"	5	affixed	eur	v	action
"NC:investisseur"	1	affixed	eur	v	action
"NC:ironiste"	3	affixed	iste	n	domain
"NC:jardinier"	2	affixed	ier	n	object
"NC:jaseur"	5	affixed	eur	v	action
"NC:jeteur"	4	affixed	eur	v	action
"NC:joaillier"	2	affixed	ier	n	object
"NC:joggeur"	6	affixed	eur	v	action
"NC:joggeuse"	5	affixed	eur	v	action
"NC:jongleur"	4	affixed	eur	v	action
"NC:joueur"	6	affixed	eur	v	action
"NC:journaliste"	3	affixed	iste	n	objCog
"NC:jouteur"	6	affixed	eur	v	action
"NC:judaïsant"	4	conversion	ant	v	action
"NC:justicier"	4	affixed	ier	n	domain
"NC:kayakiste"	3	affixed	iste	n	domain
"NC:kidnappeur"	4	affixed	eur	v	action
"NC:kitesurfeur"	3	affixed	eur	n	domain
"NC:laboureur"	2	affixed	eur	v	action
